Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %
07/08/2021 11:00,07/08/2021 11:13,XAUUSD,Buy,0.01,1806.99,1807.32,3.3,0.33,0,0
07/08/2021 10:54,07/08/2021 10:56,XAUUSD,Sell,0.01,1808.89,1808.94,-0.5,-0.05,0,0
07/08/2021 05:33,07/08/2021 05:52,XAUUSD,Buy,0.01,1797.2,1797.99,7.9,0.79,0,0
07/07/2021 14:06,07/07/2021 14:12,XAUUSD,Sell,0.01,1807.36,1806.93,4.3,0.43,0,0
07/06/2021 18:43,07/06/2021 21:35,XAUUSD,Buy,0.01,1802.61,1796.94,-56.7,-5.67,0,0
07/06/2021 21:13,07/06/2021 21:16,XAUUSD,Buy,0.01,1794.64,1795.35,7.1,0.71,0,0
07/06/2021 18:52,07/06/2021 20:55,XAUUSD,Buy,0.01,1799.32,1795.92,-34.0,-3.4,0,0
07/06/2021 18:55,07/06/2021 20:46,XAUUSD,Buy,0.01,1797.37,1795.39,-19.8,-1.98,0,0
07/06/2021 18:48,07/06/2021 20:44,EURUSD,Buy,0.01,1.18182,1.1818899999999999,0.7,0.07,0,0
07/06/2021 20:32,07/06/2021 20:36,XAUUSD,Buy,0.01,1793.55,1794.52,9.7,0.97,0,0
07/06/2021 19:34,07/06/2021 20:32,GBPUSD,Buy,0.01,1.37774,1.3788799999999999,11.4,1.14,0,0
07/06/2021 19:55,07/06/2021 20:29,GBPUSD,Buy,0.01,1.37753,1.3789,13.7,1.37,0,0
07/06/2021 19:11,07/06/2021 20:28,GBPUSD,Buy,0.02,1.3782,1.37896,7.6,1.52,0,0
07/06/2021 20:20,07/06/2021 20:26,XAUUSD,Buy,0.01,1794.29,1795.06,7.7,0.77,0,0
07/06/2021 19:35,07/06/2021 20:09,GBPUSD,Buy,0.01,1.37737,1.3785100000000001,11.4,1.14,0,0
07/06/2021 19:00,07/06/2021 20:06,XAUUSD,Buy,0.01,1795.28,1796.04,7.6,0.76,0,0
07/06/2021 19:10,07/06/2021 20:03,XAUUSD,Buy,0.01,1793.47,1794.59,11.2,1.12,0,0
07/06/2021 19:27,07/06/2021 19:57,XAUUSD,Buy,0.01,1792.14,1793.59,14.5,1.45,0,0
07/06/2021 19:37,07/06/2021 19:50,GBPUSD,Buy,0.01,1.37734,1.3781700000000001,8.3,0.83,0,0
07/06/2021 19:35,07/06/2021 19:44,EURUSD,Buy,0.01,1.1809399999999999,1.1814799999999999,5.4,0.54,0,0
07/06/2021 19:19,07/06/2021 19:22,XAUUSD,Buy,0.01,1791.88,1792.97,10.9,1.09,0,0
07/06/2021 18:05,07/06/2021 18:35,GBPUSD,Buy,0.01,1.38011,1.38022,1.1,0.11,0,0
07/06/2021 18:16,07/06/2021 18:19,EURUSD,Buy,0.01,1.18177,1.18222,4.5,0.45,0,0
07/06/2021 17:53,07/06/2021 18:00,GBPUSD,Buy,0.01,1.3804,1.38086,4.6,0.46,0,0
07/06/2021 17:35,07/06/2021 17:37,GBPUSD,Buy,0.01,1.38,1.38111,11.1,1.11,0,0
07/06/2021 17:11,07/06/2021 17:19,XAUUSD,Sell,0.01,1811.41,1810.83,5.8,0.58,0,0
07/06/2021 16:56,07/06/2021 17:01,XAUUSD,Sell,0.01,1810.67,1809.28,13.9,1.39,0,0
07/06/2021 10:32,07/06/2021 11:06,XAUUSD,Sell,0.01,1805.71,1806.76,-10.5,-1.05,0,0
