Gmt time,Open,High,Low,Close,Volume
01.01.2021 00:00:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 00:05:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 00:10:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 00:15:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 00:20:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 00:25:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 00:30:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 00:35:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 00:40:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 00:45:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 00:50:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 00:55:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:00:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:05:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:10:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:15:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:20:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:25:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:30:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:35:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:40:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:45:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:50:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 01:55:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:00:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:05:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:10:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:15:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:20:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:25:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:30:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:35:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:40:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:45:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:50:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 02:55:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:00:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:05:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:10:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:15:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:20:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:25:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:30:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:35:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:40:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:45:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:50:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 03:55:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 04:00:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 04:05:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 04:10:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 04:15:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 04:20:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 04:25:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 04:30:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 04:35:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 04:40:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 04:45:00.000,1.22141,1.22141,1.22141,1.22141,0
01.01.2021 04:50:00.000,1.22141,1.22141,1.22141,1.22141,0
